identifier,series,control_symbol,title,series_title,contents_date_str,contents_start_date,contents_end_date,access_status,access_decision_date,reasons
12332,A1,1911/21007,Salvatore Pagano Naturalization Issued to Immigration T/N 61/31000.,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1961 - 1961,1961-01-01,1961-01-01,Closed,1981-07-28 00:00:00,Pre Access Recorder
15403,A1,1913/6809,Meeting of Commonwealth Literary Fund (Missing as at 26/8/98).,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1913 - 1913,1913-01-01,1913-01-01,Closed,1981-09-28 00:00:00,Pre Access Recorder
33093,A1,1915/11532,Wilhelm CA Simonsen - Naturalization Issued to Immigration (Missing),"Correspondence files, annual single number series [Main correspondence files series of the agency]",1961 - 1961,1961-01-01,1961-01-01,Closed,1981-12-03 00:00:00,Pre Access Recorder
46663,A2,1907/554,Report of Conference of Statisticians (File Cover Only),"Correspondence files, annual single number series",1904 - 1920,1904-01-01,1920-01-01,Closed,1973-06-20 00:00:00,Pre Access Recorder
47046,A2,1915/346,Rossino - Mario,"Correspondence files, annual single number series",1915 - 1915,1915-01-01,1915-01-01,Closed,1973-06-28 00:00:00,Pre Access Recorder
47231,A2,1916/145,Immigration to Australia of Persons suffering from disease,"Correspondence files, annual single number series",1916 - 1916,1916-01-01,1916-01-01,Closed,1973-07-03 00:00:00,Pre Access Recorder
48569,A2,1919/369,Naval Matters. Petition from JGH Rubie relative to his Removal from Royal Australian Naval College,"Correspondence files, annual single number series",1918 - 1919,1918-01-01,1919-01-01,Closed,1973-09-13 00:00:00,Pre Access Recorder
49365,A2,1920/1349,Science & Industry - Resignations,"Correspondence files, annual single number series",1920 - 1920,1920-01-01,1920-01-01,Closed,1987-04-22 00:00:00,Pre Access Recorder
54990,A88,1,Glass plate negative photograph of Norfolk Island - Mission Chapel,Negatives of photographs of Norfolk Island,1914 - 1914,1914-01-01,1914-01-01,Closed,2002-02-26 00:00:00,Pre Access Recorder
55515,A106,G1924/1823,ORDERS FOR CONVEYANCE OF MEMBERS F. N. STATEMENT OF ACCOUNTS.,"Correspondence files, annual single number series with 'G' [General] prefix",01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1987-04-22 00:00:00,Pre Access Recorder
