title,identifier,series,control_symbol,digitised_status,digitised_pages,access_status,access_decision_reasons,location,retrieved,contents_date_str,contents_start_date,contents_end_date,access_decision_date_str,access_decision_date,reasons
[Home Office suspect index],65454,A373,5117,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:37:53.985632+11:00,1946 - 1950,1946,1950,26 Nov 1980,1980-11-26,['33(1)(b)']
Abrahams. Opinions.,66910,A432,1929/394 ATTACHMENT 2,False,0,Closed,['33(3)(a)(i)(ii)&(b)'],Canberra,2022-01-01T13:37:55.045081+11:00,1927 - 1928,1927,1928,30 Jul 2018,2018-07-30,"['33(3)(a)(i)', '33(3)(a)(ii)', '33(3)(b)']"
"Legal opinions expressed by O Dixon, E Gorman and E Mitchell in Abrahams Bros case",66911,A432,1929/394 ATTACHMENT 3,False,0,Closed,['33(3)(a)(i)(ii)&(b)'],Canberra,2022-01-01T13:37:56.093736+11:00,1928 - 1928,1928,1928,30 Jul 2018,2018-07-30,"['33(3)(a)(i)', '33(3)(a)(ii)', '33(3)(b)']"
"[THOMAS Leslie Hector (Leading Aircraftman) : Service Number - 117060 : WELLS Frank Eric (Aircraftman Class 1) : Unit - No 9 Replenishing Centre, Darwin, Northern Territory, Royal Australian Air Force : Date of Court Martial - 23 November and 29 and 30 December 1943]",99746,A471,49941,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:37:57.518603+11:00,1943 - 1943,1943,1943,20 May 1999,1999-05-20,['33(1)(g)']
Nauru Census 1952,103094,A518,FJ118/6,False,0,Closed,"['33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:37:58.529547+11:00,1952 - 1953,1952,1953,24 Oct 1989,1989-10-24,"['33(1)(d)', '33(1)(g)']"
Indonesia. Communism in Indonesia,140757,A1838,3034/2/2/2 PART 7,False,0,Closed,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']",Canberra,2022-01-01T13:37:59.542293+11:00,1960 - 1962,1960,1962,14 May 2012,2012-05-14,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']"
J B EWERS. re land for soldier settlement,151286,A2485,C/273,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:00.617242+11:00,1918 - 1918,1918,1918,26 Feb 2021,2021-02-26,['Withheld pending adv']
[Payment of allowances to wives of soldiers who desert - Alfred Etherington],157373,A2487,1919/9886,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:38:01.669256+11:00,1919 - 1919,1919,1919,14 Apr 1992,1992-04-14,['33(1)(g)']
Exchange of staff between Joint Intelligence Bureau (Melbourne) and Joint Intelligence Bureau (London) - personal letter from Sir Harold Parker,170971,A816,41/301/195,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:02.795843+11:00,1953 - 1958,1953,1958,29 Apr 1991,1991-04-29,"['33(1)(a)', '33(1)(b)']"
Cryptographic Material for ASIO,171089,A816,43/302/76,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:03.826146+11:00,1951 - 1952,1951,1952,11 Mar 1993,1993-03-11,"['33(1)(a)', '33(1)(b)']"
"SEATO [South East Asia Treaty Organisation] Combined Training Exercise ""AIR LINK"" Bangkok 28 May - 1 June 1957",171129,A816,44/301/219,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:04.785420+11:00,1957 - 1957,1957,1957,01 Aug 1991,1991-08-01,"['33(1)(a)', '33(1)(b)']"
"Inland tele-radio channels in Australia, Papua and New Guinea, Security risk.",171205,A816,48/301/131,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:05.780627+11:00,1950 - 1953,1950,1953,16 Aug 2018,2018-08-16,['Withheld pending adv']
Provision of Capacity for the Manufacture of new type armour Piercing Shot (APDS),199284,A1196,2/501/295,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:06.726373+11:00,1952 - 1955,1952,1955,04 Mar 2020,2020-03-04,['Withheld pending adv']
"Evasion of Customs Regulations - RAAF Station, Rathmines",200166,A1196,29/501/225,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:07.688488+11:00,1944 - 1944,1944,1944,09 Apr 1975,1975-04-09,"['33(1)(a)', '33(1)(b)']"
RAAF Component Strategic Reserve. (Execution of Policy) Equipment Aspects. Part 3.,200648,A1196,36/501/729 PART 3,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:08.685088+11:00,1958 - 1959,1958,1959,02 Nov 2016,2016-11-02,['Withheld pending adv']
Boomerang Club - Foodstuffs from Australia - Policy,215356,A2910,407/15/11,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:09.674716+11:00,11 Feb 1943 - 17 Sep 1945,1943-02-11,1945-09-17,15 Dec 2020,2020-12-15,['Withheld pending adv']
"[The Official History of the Operations and Administration of Special Operations Australia (SOA), also known as the Inter-Allied Services Department (ISD) and Services Reconnaissance Department (SRD) - Volume 4 - Training Syllabi - Part 4 - Handbook on Telecommunications and Railway Sabotage]",235342,A3269,Q4,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T13:38:10.753342+11:00,1942 - 1943,1942,1943,02 Jun 1983,1983-06-02,['33(1)(a)']
[SRD (Services Reconnaissance Department) Technical Section -] The Sabotage Handbook; Miscellaneous Industries [Volume 1],235366,A3269,R14/A,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:11.784322+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section -] [The Sabotage] Handbook Oil,235367,A3269,R14/B,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:12.819342+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
"[SRD (Services Reconnaissance Department) Technical Section -] [The Sabotage Handbook] Shipping Handbook, volume 4",235368,A3269,R14/C,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:13.817928+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section -] [The Sabotage Handbook] Railways,235369,A3269,R14/E,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:18.241418+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section -] Sabotage Handbook; Telecommunications,235370,A3269,R14/F,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:19.393835+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section -] Sabotage Handbook. Military Targets,235371,A3269,R14/G,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:20.359122+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section] Sabotage Handbook. Handbook of Home-made devices,235372,A3269,R14/H,False,0,Closed,"['33(1)(b)', '33(1)(e)(iii)']",Canberra,2022-01-01T13:38:21.344229+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,"['33(1)(b)', '33(1)(e)(iii)']"
"[SRD (Services Reconnaissance Department) Technical Section -] [The Sabotage Handbook] Supplement ""D"" to Shipping Handbook Volume 4",235373,A3269,R14/D,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T13:38:22.407313+11:00,1942 - 1942,1942,1942,08 Feb 1993,1993-02-08,['33(1)(b)']
[SRD (Services Reconnaissance Department) Technical Section -] Shipping [Sabotage] Handbook [Volume 4 - this appears to be a draft of R14/C],235375,A3269,R16,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:23.420417+11:00,1942 - 1943,1942,1943,02 Apr 1997,1997-04-02,"['33(1)(a)', '33(1)(b)']"
Lecture handouts - clandestine operations,235377,A3269,R18/A,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T13:38:24.493037+11:00,1956 - 1957,1956,1957,07 Apr 1989,1989-04-07,['33(1)(a)']
[1943 file - purple tab] Federal Bureau of Investigation (exchange of information),235729,A3300,256,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T13:38:25.699584+11:00,30 Dec 1942 - 14 Dec 1943,1942-12-30,1943-12-14,22 Dec 1992,1992-12-22,['33(1)(a)']
Leading Government and Political Circles,241391,A6283,28,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(g)']",Canberra,2022-01-01T13:38:26.721785+11:00,1954 - 1954,1954,1954,03 Jan 1985,1985-01-03,"['33(1)(a)', '33(1)(d)', '33(1)(g)']"
"ANZUS Treaty - 12th Meeting Arrangements, Date, Representation etc.",248087,A1838,270/2/12/1,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:27.733518+11:00,1963 - 1963,1963,1963,06 Jan 2017,2017-01-06,['Withheld pending adv']
"Acquiletti, Engo (Army) PWI 67845 - Born: 3 January 1919, Parma Italy - Captured: 30 December 1941, Libya - Previously interned: Not known - Arrived Australia: QUEEN MARY, 13 October 1941, Sydney - Interned: Dorrigo New South Wales - Departed: OTRANTO, 10 January 1947, for Italy",251944,A7919,C99638,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T13:38:28.720122+11:00,1941 - 1947,1941,1947,07 Dec 2020,2020-12-07,['33(1)(g)']
"Royal Commission on the wheat, flour and bread industries - minutes of in camera evidence - Vols NSW C1 to C3",261737,CP656/3,BUNDLE 3,False,0,Closed,['33(1)(d)'],Canberra,2022-01-01T13:38:29.728444+11:00,1935 - 1935,1935,1935,19 Jun 1979,1979-06-19,['33(1)(d)']
"Royal Commission on wheat,flour and bread industries - minutes of in camera evidence vols C4 to C7 (NSW-C4, VIC C5 to C7)",261738,CP656/3,BUNDLE 4,False,0,Closed,['33(1)(d)'],Canberra,2022-01-01T13:38:30.825320+11:00,1935 - 1935,1935,1935,19 Jun 1979,1979-06-19,['33(1)(d)']
"Royal Commission on the wheat, flour and bread industries - Minutes of in camera evidence - VOLS C8 to C16 - VIC, SA, WA, QLD and TAS.",261739,CP656/3,BUNDLE 4A,False,0,Closed,['33(1)(d)'],Canberra,2022-01-01T13:38:31.808630+11:00,1935 - 1935,1935,1935,19 Jun 1979,1979-06-19,['33(1)(d)']
"ANZUS staff planners meeting, Pearl Harbour, March 1956",267140,A816,11/301/1063,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T13:38:32.801477+11:00,1956 - 1956,1956,1956,30 Jun 1994,1994-06-30,"['33(1)(a)', '33(1)(b)']"
Henry Phillip DALLINGER [Repatriation case file] [box 4362],267304,C138,53551,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T13:38:34.593764+11:00,1918 - 1945,1918,1945,22 May 1996,1996-05-22,['33(1)(g)']
USSR Relations with Australia Activities of Australian Communist Party,271461,A1838,69/1/3/7 PART 2,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:35.717513+11:00,1963 - 1964,1963,1964,01 Nov 2011,2011-11-01,['Withheld pending adv']
NATO - North Atlantic Council Ministerial Meetings,271760,A1838,78/5/1 PART 10,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:36.710560+11:00,1959 - 1962,1959,1962,21 Jan 2019,2019-01-21,['Withheld pending adv']
NATO - North Atlantic Council - Ministerial Meetings,271784,A1838,78/5/1 PART 8,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:37.790159+11:00,1957 - 1958,1957,1958,18 Sep 2018,2018-09-18,['Withheld pending adv']
"NATO Political, Military & Economic Activities - General",271839,A1838,78/5 PART 3,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:38.838884+11:00,1956 - 1961,1956,1961,21 Feb 2019,2019-02-21,['Withheld pending adv']
Hungary - Relations with Australia,271880,A1838,33/1/3 PART 2,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:43.093665+11:00,1957 - 1962,1957,1962,27 Feb 2018,2018-02-27,['Withheld pending adv']
Voyage of the TIKI - Top Secret documents,272002,A1838,TS383/6/5,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T13:38:44.072303+11:00,1952 - 1952,1952,1952,29 Jun 2021,2021-06-29,['Withheld pending adv']
