identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year
199284,A1196,2/501/295,Provision of Capacity for the Manufacture of new type armour Piercing Shot (APDS),1952 - 1955,1952-01-01,1955-01-01,Canberra,Closed,04 Mar 2020,2020-03-04,Withheld pending adv,2020
215356,A2910,407/15/11,Boomerang Club - Foodstuffs from Australia - Policy,11 Feb 1943 - 17 Sep 1945,1943-02-11,1945-09-17,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
251944,A7919,C99638,"Acquiletti, Engo (Army) PWI 67845 - Born: 3 January 1919, Parma Italy - Captured: 30 December 1941, Libya - Previously interned: Not known - Arrived Australia: QUEEN MARY, 13 October 1941, Sydney - Interned: Dorrigo New South Wales - Departed: OTRANTO, 10 January 1947, for Italy",1941 - 1947,1941-01-01,1947-01-01,Canberra,Closed,07 Dec 2020,2020-12-07,33(1)(g),2020
273022,A816,54/301/357,Experiences of British Prisoners of War captured in KOREA.,1954 - 1956,1954-01-01,1956-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,33(1)(a)|33(1)(b)|Withheld pending adv,2020
546805,A1838,936/2/9 PART 5,UN - Dependent Territories - Nauru Phosphates,1964 - 1965,1964-01-01,1965-01-01,Canberra,Closed,24 Mar 2020,2020-03-24,Withheld pending adv,2020
546859,A1838,936/5 PART 5,New Guinea - Attainment of Self Government,1966 - 1967,1966-01-01,1967-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
548252,A1838,3107/7/3 PART 13,China Political - Tibet General,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,28 Aug 2020,2020-08-28,Withheld pending adv,2020
548329,A1838,3123/5/4,Korean War - United Nations Command - Policy and organisation [2cm],1952 - 1973,1952-01-01,1973-01-01,Canberra,Closed,12 Oct 2020,2020-10-12,33(1)(a)|33(1)(b)|Closed period|Withheld pending adv,2020
548384,A1838,3127/2/9 PART 2,South Korea - Internal Security,1969 - 1973,1969-01-01,1973-01-01,Canberra,Closed,10 Nov 2020,2020-11-10,33(1)(a)|33(1)(b)|Withheld pending adv,2020
548956,A1838,704/15 PART 8,General Information on Oil,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,09 Oct 2020,2020-10-09,Withheld pending adv,2020
548965,A1838,704/15 PART 13,General Information on Oil,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,09 Oct 2020,2020-10-09,Withheld pending adv,2020
548968,A1838,704/15 PART 15,General Information on Oil,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,07 Oct 2020,2020-10-07,Withheld pending adv,2020
548974,A1838,704/15 PART 20,General Information on Oil,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,09 Oct 2020,2020-10-09,Withheld pending adv,2020
550490,A1838,3034/10/3/1 PART 1,Indonesia - Centre for Strategic Studies - Proposal for Australia - Indonesian Seminar in 1974,1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,26 Jun 2020,2020-06-26,Withheld pending adv,2020
550924,A1838,3038/10/1/2 PART 1,Submissions to Ministers and briefs on Portuguese Timor,1974 - 1975,1974-01-01,1975-01-01,Canberra,Closed,11 Nov 2020,2020-11-11,Withheld pending adv,2020
552207,A1838,766/1/4 PART 10,Communist China - Economic Sale of Australian Wheat,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,12 Aug 2020,2020-08-12,Withheld pending adv,2020
552802,A1838,262/10/2 PART 3,Inter American Security Rio Treaty - Organisation of American States Action - Organisation of American States Peace Committee Foreign Ministers Conferences - Relations Organisation of American States & United Nations Security Council,1960 - 1962,1960-01-01,1962-01-01,Canberra,Closed,17 Sep 2020,2020-09-17,Withheld pending adv,2020
554878,A1838,750/2 PART 2,Cambodia - Reports on Economic Development,1959 - 1965,1959-01-01,1965-01-01,Canberra,Closed,23 Mar 2020,2020-03-23,Withheld pending adv,2020
556522,A1838,724/4/16 PART 3,Organisation for Economic Co-operation and Development - Oil Committee,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,25 Mar 2020,2020-03-25,Withheld pending adv,2020
556666,A1838,3103/2/2/5 PART 1,Japan - Political Parties - Democratic Socialist Party,1959 - 1975,1959-01-01,1975-01-01,Canberra,Closed,06 Aug 2020,2020-08-06,Withheld pending adv,2020
558816,A1838,277/17/1 PART 1,South Pacific interests - General - Nuclear free zones,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,16 Dec 2020,2020-12-16,Withheld pending adv,2020
558930,A1838,766/3/60,China - Economic relations with Tibet,1959 - 1971,1959-01-01,1971-01-01,Canberra,Closed,27 Aug 2020,2020-08-27,Withheld pending adv,2020
563187,A1838,1255/70/2 PART 1B,Statement of Service - Supplementary information - Group B,1957 - 1959,1957-01-01,1959-01-01,Canberra,Closed,03 Feb 2020,2020-02-03,33(1)(a),2020
582418,A1838,185/2/1 PART 5,Nepal - Political - General,1962 - 1966,1962-01-01,1966-01-01,Canberra,Closed,25 Nov 2020,2020-11-25,Withheld pending adv,2020
586330,A1838,3107/7/3 PART 2,China - Tibet - General,1956 - 1958,1956-01-01,1958-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
586331,A1838,185/11/87 PART 1,Nepal Relations with China and Tibet,1952 - 1961,1952-01-01,1961-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
586345,A1838,3107/7/3 PART 7,China - Tibet - General,1959 - 1959,1959-01-01,1959-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
586355,A1838,3107/7/3 PART 9,China - Tibet - General,1959 - 1961,1959-01-01,1961-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
586360,A1838,3107/7/3 PART 11,China Political - Tibet - General,1964 - 1965,1964-01-01,1965-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
588522,A1838,154/2/1 PART 11,Tanzania - Political - General,1971 - 1972,1971-01-01,1972-01-01,Canberra,Closed,16 Dec 2020,2020-12-16,Withheld pending adv,2020
590185,A1838,3036/6/1/3 PART 6,Netherlands New Guinea - Future Status of Territory,1968 - 1969,1968-01-01,1969-01-01,Canberra,Closed,07 Dec 2020,2020-12-07,Withheld pending adv,2020
595075,A1838,29/2/9 PART 2,Federal Republic of Germany - Political Refugees,1957 - 1960,1957-01-01,1960-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
632779,A1838,2480/2 PART 2,SEATO - Authority to Expend Australian Contribution,1962 - 1965,1962-01-01,1965-01-01,Canberra,Closed,21 Aug 2020,2020-08-21,Withheld pending adv,2020
658548,A6119,417,Carl STRATMANN,1949 - 1959,1949-01-01,1959-01-01,Canberra,Closed,27 May 2020,2020-05-27,33(1)(a)|33(1)(d)|33(1)(g),2020
703612,A816,37/301/425,"Report of ANZUS Staff Planners Meeting - Pearl Harbour, October 1955",1955 - 1956,1955-01-01,1956-01-01,Canberra,Closed,09 Nov 2020,2020-11-09,33(1)(a)|33(1)(b)|Withheld pending adv,2020
889880,A6119,697,Edward Kenneth INALL,1951 - 1961,1951-01-01,1961-01-01,Canberra,Closed,09 Jul 2020,2020-07-09,33(1)(a)|33(1)(d)|33(1)(e)(i)|33(1)(g),2020
906452,F1,1962/467,[Portion of Title Expunged] Matthew Sullivan with Ward May (Clara),1962 - 1964,1962-01-01,1964-01-01,Darwin,Closed,28 Feb 2020,2020-02-28,33(1)(g),2020
909451,F1,1962/3016,"State Childrens Council - Teddy, Helene, Christopher Horrel",1956 - 1963,1956-01-01,1963-01-01,Darwin,Closed,03 Dec 2020,2020-12-03,33(1)(g),2020
931478,D174,S5580/26/1 PART 3,"Safety Project, Skylark, General",1965 - 1968,1965-01-01,1968-01-01,Canberra,Closed,21 Jul 2020,2020-07-21,Withheld pending adv,2020
943133,A1838,2460/6 PART 2,SEATO Proposals for Amended Procedures,1962 - 1962,1962-01-01,1962-01-01,Canberra,Closed,09 Dec 2020,2020-12-09,Withheld pending adv,2020
944436,A6119,826,Edward George ANDREWS,1946 - 1959,1946-01-01,1959-01-01,Canberra,Closed,18 Aug 2020,2020-08-18,33(1)(a)|33(1)(d)|33(1)(g)|33(1)(e)(i),2020
972577,A6119,898,Kenneth Donald BUCKLEY - Miscellaneous papers,1961 - 1961,1961-01-01,1961-01-01,XNAA,Closed,30 Nov 2020,2020-11-30,33(1)(a)|33(1)(d)|33(1)(e)(i)|33(1)(g),2020
973916,D4096,242,Queensland Exhibits - QV74 - Patrick Thomas BOOTH: Copy statement of Steven Robert VEA VEA 7/12/1988,1988 - 1988,1988-01-01,1988-01-01,Brisbane,Closed,20 Mar 2020,2020-03-20,33(1)(g),2020
993074,A6119,922,"CLARKE, Raymond George - Volume 1",1949 - 1958,1949-01-01,1958-01-01,Canberra,Closed,18 Aug 2020,2020-08-18,33(1)(a)|33(1)(e)(ii)|33(1)(g),2020
993081,A6119,923,"CLARKE, Raymond George - Volume 2",1958 - 1964,1958-01-01,1964-01-01,Canberra,Closed,18 Aug 2020,2020-08-18,33(1)(a)|33(1)(e)(ii)|33(1)(g),2020
994119,A6119,915,Mercia Leonora Zoe MASSON [9 folios],1952 - 1954,1952-01-01,1954-01-01,Canberra,Closed,09 Jul 2020,2020-07-09,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g),2020
1085451,A6059,6/441/161,Anti tank weapons policy,1960 - 1966,1960-01-01,1966-01-01,Canberra,Closed,04 Mar 2020,2020-03-04,Withheld pending adv,2020
1085490,A6059,6/441/194,WOMC 'The Vigilant' medium range anti tank guided missiles and the class room controller for 'vigilant',1962 - 1964,1962-01-01,1964-01-01,Canberra,Closed,18 Mar 2020,2020-03-18,Withheld pending adv,2020
1085500,A6059,7/441/3,electronic warfare,1957 - 1957,1957-01-01,1957-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1085510,A6059,7/441/43,Army Headquarters No 27 electronic warfare,1960 - 1963,1960-01-01,1963-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1085513,A6059,7/441/48,WOPS No 27 Electronic warfare and mobile 'Y',1961 - 1961,1961-01-01,1961-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1085516,A6059,7/441/56,Electronic warfare. British Army Information,1959 - 1962,1959-01-01,1962-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1087020,A6059,66/441/84,WOPS No 2 (1st revised) armoured reconnaissance vehicle,1960 - 1962,1960-01-01,1962-01-01,Canberra,Closed,04 Mar 2020,2020-03-04,Withheld pending adv,2020
1087092,A6059,69/441/34,Proposed visit overseas Lieutenant Colonel JJS Hobbs - Major JO Langtry - Major HE Ehnhuus and Colonel SC Graham,1961 - 1961,1961-01-01,1961-01-01,Canberra,Closed,29 Jul 2020,2020-07-29,Withheld pending adv,2020
1091694,A6059,19/441/28 PART 3,War Office Policy statements (and WCP papers - 1958 - part 3),1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,16 Mar 2020,2020-03-16,Withheld pending adv,2020
1358822,A9186,327,RAAF Unit History sheets (Form A50) [Operations Record Book - Forms A50 and A51] Central Photographic Establishment Sep 82 - Feb 89,1982 - 1989,1982-01-01,1989-01-01,Canberra,Closed,10 Feb 2020,2020-02-10,Withheld pending adv,2020
1389205,A1838,531/1 PART 2,Macao - General,1966 - 1972,1966-01-01,1972-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1389362,A1838,553/1/1 PART 15,"Cultural relations - Policy, general",1981 - 1983,1981-01-01,1983-01-01,Canberra,Closed,02 Mar 2020,2020-03-02,Withheld pending adv,2020
1389366,A1838,553/1/1/19 PART 1,"Cultural relations - Statistical and evaluation on cultural relations - Activities, incoming and outgoing",1979 - 1981,1979-01-01,1981-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1389589,A1838,338/2/2 PART 36,Vanuatu - Relations with Australia,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1389590,A1838,338/2/2 PART 37,Vanuatu - Relations with Australia,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,04 Mar 2020,2020-03-04,Withheld pending adv,2020
1389605,A1838,314/2/1 PART 1,Western Samoa - Political personalities,1977 - 1985,1977-01-01,1985-01-01,Canberra,Closed,02 Oct 2020,2020-10-02,Withheld pending adv,2020
1389706,A1838,316/2/18 PART 1,Fiji - Relations with France,1971 - 1981,1971-01-01,1981-01-01,Canberra,Closed,06 Oct 2020,2020-10-06,Withheld pending adv,2020
1504855,A1838,3027/2/9/8,Malaysia - Operational intelligence summary,1971 - 1983,1971-01-01,1983-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1505713,A1838,3038/2/1 PART 20,Portuguese Timor - Political and General,1981 - 1981,1981-01-01,1981-01-01,Canberra,Closed,10 Aug 2020,2020-08-10,33(1)(a)|Withheld pending adv,2020
1505716,A1838,3038/2/1 PART 23,Portuguese Timor - Political and General,1982 - 1982,1982-01-01,1982-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1505719,A1838,3038/2/1 PART 26,Portuguese Timor - Political and General,1982 - 1983,1982-01-01,1983-01-01,Canberra,Closed,28 Aug 2020,2020-08-28,Withheld pending adv,2020
1505915,A1838,3038/10/1/2 PART 3,Submission to Ministers and briefs on Portuguese Timor,1975 - 1976,1975-01-01,1976-01-01,Canberra,Closed,10 Nov 2020,2020-11-10,Withheld pending adv,2020
1505916,A1838,3038/10/1/2 PART 4,Submission to Ministers and briefs and other papers on Portuguese Timor,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,11 Nov 2020,2020-11-11,Withheld pending adv,2020
1505927,A1838,3038/10/15 PART 16,Portuguese Timor - Australian aid,1979 - 1980,1979-01-01,1980-01-01,Canberra,Closed,27 Aug 2020,2020-08-27,Withheld pending adv,2020
1505970,A1838,3038/13/10/1 PART 5,Indonesia/Australia relations,1976 - 1977,1976-01-01,1977-01-01,Canberra,Closed,10 Nov 2020,2020-11-10,Closed period|Withheld pending adv,2020
1508214,A1838,3020/10/1 PART 18,North Vietnam - Relations with Australia,1978 - 1978,1978-01-01,1978-01-01,Canberra,Closed,03 Apr 2020,2020-04-03,Withheld pending adv,2020
1509134,A1838,3034/10/1 PART 69,Indonesia - Relations with Australia - General,1986 - 1986,1986-01-01,1986-01-01,Canberra,Closed,10 Dec 2020,2020-12-10,Withheld pending adv,2020
1509135,A1838,3034/10/1 PART 70,Indonesia - Relations with Australia - General,1986 - 1986,1986-01-01,1986-01-01,Canberra,Closed,09 Dec 2020,2020-12-09,Withheld pending adv,2020
1509140,A1838,3034/10/1 PART 75,Indonesia - Relations with Australia,1986 - 1986,1986-01-01,1986-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1509156,A1838,3034/10/1/8 PART 8,Indonesia - Relations with Australia - Official discussions with Indonesia,1982 - 1987,1982-01-01,1987-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1509469,A1838,3034/11/90,Indonesia - Relations with foreign countries - South Korea,1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
1510945,A1838,3107/7/3 PART 15,China - Political - Tibet - General,1976 - 1981,1976-01-01,1981-01-01,Canberra,Closed,27 Aug 2020,2020-08-27,Withheld pending adv,2020
1510950,A1838,3107/7/3 PART 17,China - Political - Tibet - General,1982 - 1983,1982-01-01,1983-01-01,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
1511088,A1838,3107/11/2 PART 9,China - Social - Education,1969 - 1969,1969-01-01,1969-01-01,Canberra,Closed,03 Dec 2020,2020-12-03,Withheld pending adv,2020
1511968,A1838,3107/38/12/27 PART 2,China - Relations with Australia - Mr HAWKE's visit to China 1984,1983 - 1984,1983-01-01,1984-01-01,Canberra,Closed,10 Jan 2020,2020-01-10,Withheld pending adv,2020
1514363,A1838,3004/11/3/1 PART 24,Australia in South East Asia - Indo Chinese refugees,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,16 Sep 2020,2020-09-16,Withheld pending adv,2020
1549907,A1838,69/1/3/6/24 PART 2,"Union of Soviet Socialist Republics - Relations with Australia - Visits and exchanges - Visit of Prime Minister Hawke to USSR, 1987 - Agreements",1987 - 1987,1987-01-01,1987-01-01,Canberra,Closed,22 Apr 2020,2020-04-22,Withheld pending adv,2020
1700637,A1838,250/9/10/3 PART 6,USA - Relations with Australia - Visits by Prime Minister of Australia,1975 - 1976,1975-01-01,1976-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1700639,A1838,250/9/10/3 PART 7,USA - Relations with Australia - Visits by Prime Minister of Australia,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1700642,A1838,250/9/10/3 PART 9,USA - Relations with Australia - Visits by Prime Minister of Australia,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
1700661,A1838,250/9/10/3 PART 25,USA - Relations with Australia - Visits by Prime Minister of Australia,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,22 Apr 2020,2020-04-22,Withheld pending adv,2020
1700662,A1838,250/9/10/3 PART 26,USA - Relations with Australia - Visits by Prime Minister of Australia,1983 - 1985,1983-01-01,1985-01-01,Canberra,Closed,22 Apr 2020,2020-04-22,Withheld pending adv,2020
1700664,A1838,250/9/10/3 PART 27,USA - Relations with Australia - Visits by Prime Minister of Australia,1985 - 1985,1985-01-01,1985-01-01,Canberra,Closed,07 Jan 2020,2020-01-07,Withheld pending adv,2020
1700863,A1838,250/10/4 PART 1,USA - Relations with Far East and Western Pacific areas,1954 - 1963,1954-01-01,1963-01-01,Canberra,Closed,28 Jan 2020,2020-01-28,Withheld pending adv,2020
1726230,A1838,919/18/2 PART 4,Commonwealth Heads of Government meetings CHOGM,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,09 Jan 2020,2020-01-09,Withheld pending adv,2020
1726904,A1838,935/2/1 PART 2,United Nations - Dependent territories - Future of small dependent territories,1967 - 1977,1967-01-01,1977-01-01,Canberra,Closed,06 Feb 2020,2020-02-06,Withheld pending adv,2020
1728395,A1838,29/1/4/36 PART 2,Federal Republic of Germany - Relations with China,1971 - 1979,1971-01-01,1979-01-01,Canberra,Closed,28 Aug 2020,2020-08-28,Withheld pending adv,2020
1728740,A1838,696/7/4 PART 2,United States use of Singapore's military facilities,1969 - 1969,1969-01-01,1969-01-01,Canberra,Closed,25 Nov 2020,2020-11-25,Withheld pending adv,2020
1728742,A1838,696/7/4 PART 3,United States use of Singapore's military facilities and other foreign interests,1970 - 1975,1970-01-01,1975-01-01,Canberra,Closed,10 Dec 2020,2020-12-10,Withheld pending adv,2020
1728756,A1838,696/8/1 PART 2,South Vietnam - Political and General,1964 - 1964,1964-01-01,1964-01-01,Canberra,Closed,03 Nov 2020,2020-11-03,33(1)(a)|33(1)(b)|Withheld pending adv,2020
1728760,A1838,696/8/1 PART 4,South Vietnam - Political and General,1964 - 1965,1964-01-01,1965-01-01,Canberra,Closed,11 Nov 2020,2020-11-11,33(1)(a)|33(1)(b)|Withheld pending adv,2020
1729288,A1838,49/2/1/1 PART 11,Portugal - Foreign policy - Portuguese Timor,1980 - 1980,1980-01-01,1980-01-01,Canberra,Closed,28 Aug 2020,2020-08-28,Withheld pending adv,2020
